Species,GrowthForm,kl,ksat,Al.As,ax,p50,p12,p88,Pmd,Ppd,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Method,Maximal Vessel Length (m),Note,Id
clusia stenophylla,Tree,0.00013,0.12,0.092307692,NA,NA,NA,NA,NA,NA,NA,3.801893963,3000,17.2,Feild and Holbrook 2000,Tropical rainforest,-84.7,10.2,NA,NA,,
cosmibuena valerioi,Tree,0.00041,0.39,0.095121951,NA,NA,NA,NA,NA,NA,NA,NA,3000,17.2,Feild and Holbrook 2000,Tropical rainforest,-84.7,10.2,NA,NA,,
dendropanax latilobus,Tree,0.00062,0.64,0.103225806,NA,NA,NA,NA,NA,NA,NA,NA,3000,17.2,Feild and Holbrook 2000,Tropical rainforest,-84.7,10.2,NA,NA,,
drimys granadensis,Tree,0.00033,0.39,0.118181818,NA,NA,NA,NA,NA,NA,NA,NA,3000,17.2,Feild and Holbrook 2000,Tropical rainforest,-84.7,10.2,NA,NA,,
miconia,Tree,0.00045,0.51,0.113333333,NA,NA,NA,NA,NA,NA,NA,NA,3000,17.2,Feild and Holbrook 2000,Tropical rainforest,-84.7,10.2,NA,NA,,
oreopanax nubigenus,Tree,0.00026,0.48,0.184615385,NA,NA,NA,NA,NA,NA,NA,NA,3000,17.2,Feild and Holbrook 2000,Tropical rainforest,-84.7,10.2,NA,NA,,
schefflera pittieri,Tree,0.00063,0.65,0.103174603,NA,NA,NA,NA,NA,NA,NA,NA,3000,17.2,Feild and Holbrook 2000,Tropical rainforest,-84.7,10.2,NA,NA,,
austrobaileya scandens,Liana,0.00018,2.3,1.277777778,NA,NA,NA,NA,NA,NA,NA,NA,3000,22.35166667,Feild et al. 2003,Tropical rainforest,145.5833333,-17.53333333,NA,NA,,
illicium floridanum,Tree,NA,0.4,NA,NA,NA,NA,NA,NA,NA,0.575,11.78,1490,16.2,Feild et al. 2009,Tropical rainforest,-83.59333333,35.12611111,NA,NA,,
schisandra glabra,Liana,NA,2.3,NA,NA,-0.8,NA,NA,NA,NA,0.329,22.88,1490,16.2,Feild et al. 2009,Tropical rainforest,-83.59333333,35.12611111,Centrifugation,NA,,
adenocalymma inundatum,Liana,NA,2.5,NA,NA,NA,NA,NA,NA,NA,0.57,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
aristolochia taliscana,Liana,NA,45,NA,NA,NA,NA,NA,NA,NA,0.23,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
caesalpinia eriostachys,Tree,NA,1.7,NA,NA,NA,NA,NA,NA,NA,0.7,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
capparis indica,Tree,NA,0.9,NA,NA,NA,NA,NA,NA,NA,0.56,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
cnidoscolus spinosus,Tree,NA,3,NA,NA,NA,NA,NA,NA,NA,0.31,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
combretum fruticosum,Liana,NA,18,NA,NA,NA,NA,NA,NA,NA,0.635,11.48153621,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
cordia alliodora,Tree,NA,2.9,NA,NA,NA,NA,NA,NA,NA,0.59,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
dieterlea fusiformis,Liana,NA,90,NA,NA,NA,NA,NA,NA,NA,0.27,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
entada polystachya,Liana,NA,210,NA,NA,NA,NA,NA,NA,NA,0.42,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
gaudichaudia mcvaughii,Liana,NA,20,NA,NA,NA,NA,NA,NA,NA,0.63,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
gouania rosei,Liana,NA,110,NA,NA,NA,NA,NA,NA,NA,0.585,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
guapira,Tree,NA,1.7,NA,NA,NA,NA,NA,NA,NA,0.475,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
heliocarpus pallidus,Tree,NA,5.5,NA,NA,NA,NA,NA,NA,NA,0.47,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
ipomoea bracteata,Liana,NA,35,NA,NA,NA,NA,NA,NA,NA,0.34,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
ipomoea wolcottiana,Tree,NA,2.2,NA,NA,NA,NA,NA,NA,NA,0.605,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
passiflora juliana,Liana,NA,40,NA,NA,NA,NA,NA,NA,NA,0.44,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
psidium sartorianum,Tree,NA,1.1,NA,NA,NA,NA,NA,NA,NA,0.725,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
ruprechtia fusca,Tree,NA,2.4,NA,NA,NA,NA,NA,NA,NA,0.625,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
serjania brachycarpa,Liana,NA,10,NA,NA,NA,NA,NA,NA,NA,0.66,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
spondias purpurea,Tree,NA,2.9,NA,NA,NA,NA,NA,NA,NA,0.39,NA,748,26.691,Gartner et al. 1990,Tropical seasonal forest,-105.05,19.5,NA,NA,,
drimys granadensis,Tree,NA,NA,NA,50.66666667,-1.64,-0.85,-2.39,NA,NA,0.454669,NA,4500,23.36033333,Hacke et al. 2007,Tropical rainforest,-84.11666667,10.7,Centrifugation,NA,,
drimys insipida,Tree,NA,NA,NA,28.78787879,-4.68,-4.08,-6,NA,NA,0.554086,NA,3100,20.75966667,Hacke et al. 2007,Tropical rainforest,145.15,-16.31,Centrifugation,NA,,
drimys winteri,Tree,NA,NA,NA,NA,-2.3,NA,NA,NA,NA,0.415,6.27335696,2500,13,Hacke et al. 2007,Tropical rainforest,-71.675,-30.675,Centrifugation,NA,,
zygogynum baillonii,Tree,NA,NA,NA,35.51401869,-3,-2.21,-4.07,NA,NA,NA,NA,1400,18.63366667,Hacke et al. 2007,Tropical seasonal forest,166.468,-22.047,Centrifugation,NA,,
zygogynum bicolor,Tree,NA,NA,NA,40.86021505,-2.3,-2.02,-3.23,NA,NA,NA,NA,1500,19.623,Hacke et al. 2007,Tropical seasonal forest,165.5,-21.37,Centrifugation,NA,,
zygogynum pancheri,Tree,NA,NA,NA,39.58333333,-5.2,-4.11,-6.16,NA,NA,0.627626,NA,1600,20.94266667,Hacke et al. 2007,Tropical rainforest,166.534,-22.166,Centrifugation,NA,,
zygogynum pomiferum,Tree,NA,NA,NA,39.17525773,-3.45,-1.84,-4.42,NA,NA,0.574514,NA,1500,20.883,Hacke et al. 2007,Tropical seasonal forest,165.46,-21.34,Centrifugation,NA,,
zygogynum queenslandianum,Tree,NA,NA,NA,15.96638655,-3.6,-1.37,-5.98,NA,NA,NA,NA,3100,21.79966667,Hacke et al. 2007,Tropical rainforest,145.17,-16.35,Centrifugation,NA,,
zygogynum semecarpoides,Tree,NA,NA,NA,43.18181818,-3.27,-2.25,-4.15,NA,NA,0.408366,NA,2500,23.80633333,Hacke et al. 2007,Tropical rainforest,145.4,-16.08333333,Centrifugation,NA,,
acinodendron pohlianum,Tree,0.001092,4.73,0.433150183,NA,-3.1,NA,NA,-1.42,-0.44,0.53,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
hymenaea martiana,Tree,0.000412,2.94,0.713592233,NA,-2.8,NA,NA,-2.31,-0.66,0.56,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
hymenaea stigonocarpa,Tree,0.000656,3.59,0.547256098,NA,-3.17,NA,NA,-2.13,-0.17,0.72,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
miconia cuspidata,Tree,0.000344,5.37,1.561046512,NA,-3.4,NA,NA,-1.14,-0.53,0.74,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
miconia pohliana,Tree,NA,NA,NA,NA,-3.1,NA,NA,-1.42,NA,NA,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.8833,-15.9333,Bench dehydration,NA,,
myrsine ferruginea,Tree,0.000434,3.25,0.748847926,NA,-3.08,NA,NA,-1.22,-0.6,0.62,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
myrsine guianensis,Tree,0.000384,2,0.520833333,NA,-2.12,NA,NA,-1.5,-0.36,0.52,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
styrax ferrugineus,Tree,0.000487,2.59,0.531827515,NA,-3.35,NA,NA,-1.41,-0.44,0.49,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
styrax pohlii,Tree,0.00069,3.45,0.5,NA,-2,NA,NA,-1.73,-0.7,0.54,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
symplocos lanceolata,Tree,0.000417,1.62,0.388489209,NA,-1.5,NA,NA,-1.18,-0.25,0.38,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
symplocos mosenii,Tree,0.000856,4.78,0.558411215,NA,-1.6,NA,NA,-1.18,-0.27,0.48,NA,1500,21,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,NA,,
anacardium excelsum,Tree,0.0051,1.1,0.021568627,NA,-1.45,NA,NA,-0.8,-0.375,0.43,10.83926914,1800,27,Johnson et al. 2013,Tropical rainforest,-79.54694444,8.98561944,Pressure sleeve,0.487,,
prionostemma aspera,Liana,0.0015,0.71,0.047333333,22.57471332,-1.224504709,-0.202058721,-7.420673425,-1.5,-0.4,0.58,NA,1800,27,Johnson et al. 2013,Tropical rainforest,-79.54694444,8.98561944,Pressure sleeve,1.03,,7
trichostigma octandrum,Liana,0.0031,1.58,0.050967742,13.64345398,-2.725377605,-0.713920514,-10.40407573,-1.4,-0.42,0.49,NA,1800,27,Johnson et al. 2013,Tropical rainforest,-79.54694444,8.98561944,Pressure sleeve,0.64,,8
bursera simaruba,Tree,0.00059,NA,NA,38,-0.9,-0.2,-1.9,-1.6,NA,0.305,15.31087462,2600,26.27266667,Lopez et al. 2005,Tropical rainforest,-79.846036,9.166666667,Pressure sleeve,NA,,
carapa guianensis,Tree,3.46E-05,NA,NA,25.33333333,-0.8,-0.18,-2.3,-1.3,NA,0.53,NA,2600,26.27266667,Lopez et al. 2005,Tropical rainforest,-79.846036,9.166666667,Pressure sleeve,NA,,
cordia alliodora,Tree,0.000658,NA,NA,58.46153846,-3.2,-2.4,-3.85,-3.7,NA,0.520307692,NA,2600,26.27266667,Lopez et al. 2005,Tropical rainforest,-79.846036,9.166666667,Pressure sleeve,NA,,
ficus citrifolia,Tree,0.000162,NA,NA,63.33333333,-1.6,-1.1,-2.2,NA,NA,0.4,NA,2600,26.27266667,Lopez et al. 2005,Tropical rainforest,-79.846036,9.166666667,Pressure sleeve,NA,,
prioria copaifera,Tree,6.30E-05,NA,NA,34.54545455,-1.6,-0.8,-2.7,-1.7,NA,0.413571429,NA,2600,26.27266667,Lopez et al. 2005,Tropical rainforest,-79.846036,9.166666667,Pressure sleeve,NA,,
avicennia germinans,Tree,NA,NA,NA,NA,NA,NA,NA,-5.93,-4.56,0.7764,NA,1350,25,Lopez-Portillo et al. 2005,Tropical rainforest,-96.36666667,19.58333333,NA,NA,,
conocarpus erectus,Tree,NA,NA,NA,NA,NA,NA,NA,-2.78,-1.98,0.845,NA,1350,25,Lopez-Portillo et al. 2005,Tropical rainforest,-96.36666667,19.58333333,NA,NA,,
ochroma pyramidale,Tree,0.00114,2.1,0.184210526,95,-1,-0.75,-1.4,-1,-0.1,0.19,NA,2600,26.27266667,Machado and Tyree 1994,Tropical rainforest,-79.846036,9.166666667,Bench dehydration,0.3,,
pseudobombax septenatum,Tree,0.000515,1.6,0.310679612,95,-1,-0.6,-1.4,-0.5,-0.1,0.25,7.762471166,2600,26.27266667,Machado and Tyree 1994,Tropical rainforest,-79.846036,9.166666667,Bench dehydration,0.35,,
anacardium excelsum,Tree,NA,NA,NA,NA,-1.56,NA,NA,-0.74,-0.39,0.39,10.83926914,1800,26.88333333,Meinzer et al. 2003,Tropical seasonal forest,-79.85,9.166666667,Single end air injection,NA,,
cordia alliodora,Tree,NA,NA,NA,NA,-3,NA,NA,-1.37,-0.49,0.52,NA,1800,26.88333333,Meinzer et al. 2003,Tropical seasonal forest,-79.85,9.166666667,Single end air injection,NA,,
ficus insipida,Tree,NA,NA,NA,NA,-1.66,NA,NA,-1.1,-0.46,0.29,NA,1800,26.88333333,Meinzer et al. 2003,Tropical seasonal forest,-79.85,9.166666667,Single end air injection,NA,,
schefflera morototoni,Tree,NA,NA,NA,NA,-1.68,NA,NA,-0.61,-0.33,0.28,NA,1800,26.88333333,Meinzer et al. 2003,Tropical seasonal forest,-79.85,9.166666667,Single end air injection,NA,,
aspidosperma cruenta,Tree,NA,1.556485,NA,NA,NA,NA,NA,NA,NA,NA,NA,3212,26.06,Meinzer et al. 2008,Tropical rainforest,-79.975,9.2833,NA,NA,,
chrysophyllum cainito,Tree,NA,NA,NA,NA,-2.1,-0.4,NA,-1.2,NA,0.655,NA,1800,26.88333333,Meinzer et al. 2008,Tropical seasonal forest,-79.85,9.166666667,Pressure sleeve,NA,,
ficus insipida,Tree,NA,NA,NA,NA,-1.9,-0.5,NA,-1.1,NA,0.376555556,NA,1800,26.88333333,Meinzer et al. 2008,Tropical seasonal forest,-79.85,9.166666667,Pressure sleeve,NA,,
luehea seemannii,Tree,NA,8.761506,NA,NA,NA,NA,NA,NA,NA,0.417,9.66050879,2614,26.54,Meinzer et al. 2008,Tropical seasonal forest,-79.85,9.1667,NA,NA,,
manilkara bidentata,Tree,NA,NA,NA,NA,-2.7,-0.9,NA,-1.5,NA,0.872933333,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Pressure sleeve,NA,,
protium panamense,Tree,NA,NA,NA,NA,-1.7,-0.2,NA,-0.9,NA,0.452333333,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Pressure sleeve,NA,,
tachigali versicolor,Tree,NA,NA,NA,NA,-1.6,-0.4,NA,-1.2,NA,0.521,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Pressure sleeve,NA,,
tapirira guianensis,Tree,NA,NA,NA,NA,-1.8,-0.5,NA,-0.9,NA,0.457,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Pressure sleeve,NA,,
trattinnickia aspera,Tree,NA,NA,NA,NA,-1.1,-0.2,NA,-0.6,NA,0.424,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Pressure sleeve,NA,,
vochysia ferruginea,Tree,NA,NA,NA,NA,-1,-0.1,NA,-0.7,NA,0.410166667,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Pressure sleeve,NA,,
amphipterygium adstringens,Tree,NA,5.36,NA,NA,-0.96,NA,NA,NA,NA,0.48,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,1.03,,
apoplanesia paniculata,Tree,NA,0.99,NA,NA,-4.61,NA,NA,NA,NA,0.56,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,0.49,,
bursera heteresthes,Tree,NA,10.24,NA,NA,-1.36,NA,NA,NA,NA,0.4,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,1.035,,
bursera instabilis,Tree,NA,15.4,NA,NA,-2.54,NA,NA,NA,NA,0.4,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,0.6333,,
caesalpinia eriostachys,Tree,NA,4.95,NA,NA,-2.07,NA,NA,NA,NA,0.85,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,0.6867,,
caesalpinia sclerocarpa,Tree,NA,2.6,NA,NA,-2.51,NA,NA,NA,NA,0.71,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,0.5333,,
cordia alliodora,Tree,NA,1.21,NA,NA,-3.18,NA,NA,NA,NA,0.63,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,0.6083,,
cordia elaeagnoides,Tree,NA,1.59,NA,NA,-1.15,NA,NA,NA,NA,0.54,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,1.3417,,
esenbeckia nesiotica,Tree,NA,0.43,NA,NA,-4.74,NA,NA,NA,NA,1.06,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,0.1656,,
gliricidia sepium,Tree,NA,14.82,NA,NA,-0.85,NA,NA,NA,NA,0.64,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,0.6633,,
heliocarpus pallidus,Tree,NA,9.67,NA,NA,-0.66,NA,NA,NA,NA,0.55,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,0.6517,,
piptadenia constricta,Tree,NA,1.53,NA,NA,-1.94,NA,NA,NA,NA,0.73,NA,774,26.23,Mendez-Alonzo et al. 2012,Tropical seasonal forest,-105.05,19.5,Pressure sleeve,0.3716,,
eucalyptus miniata,Tree,0.00064,3.13,0.4890625,NA,NA,NA,NA,NA,NA,0.897666667,5.688529308,1672,27.294,Prior and Eamus 2000,Tropical seasonal forest,130.923491,-12.433729,NA,NA,,
eucalyptus tetrodonta,Tree,0.00059,2.5,0.423728814,NA,-6.27,-3.02,NA,NA,-1.36,0.922,4.606099692,1672,27.294,Prior and Eamus 2000,Tropical seasonal forest,130.923491,-12.433729,Bench dehydration,NA,,
corymbia erythrophloia,Tree,NA,NA,NA,NA,-1.64,NA,-3,-2,NA,0.895,NA,684,20.87,Rice et al. 2004,Tropical seasonal forest,146.8833,-20.1,Pressure sleeve,NA,,
aspidosperma desmanthum,Tree,0.0002844,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
chrysophyllum cainito,Tree,0.0006084,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,1800,26.88333333,Santiago et al. 2004,Tropical rainforest,-79.85,9.166666667,NA,NA,,
cordia alliodora,Tree,0.0011088,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,1800,26.88333333,Santiago et al. 2004,Tropical rainforest,-79.85,9.166666667,NA,NA,,
dussia munda,Tree,0.0006732,NA,NA,NA,NA,NA,NA,NA,NA,0.53,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
ficus insipida,Tree,0.0022158,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,1800,26.88333333,Santiago et al. 2004,Tropical rainforest,-79.85,9.166666667,NA,NA,,
guatteria dumetorum,Tree,0.0006912,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
humiriastrum diguense,Tree,0.0006138,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
luehea seemannii,Tree,0.0020736,NA,NA,NA,NA,NA,NA,NA,NA,0.33,9.66050879,1800,26.88333333,Santiago et al. 2004,Tropical rainforest,-79.85,9.166666667,NA,NA,,
manilkara bidentata,Tree,0.000567,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
marila laxiflora,Tree,0.0005382,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
miconia minutiflora,Tree,0.001458,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
nectandra purpurascens,Tree,0.0010602,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
ocotea insularis,Tree,0.0008244,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
poulsenia armata,Tree,0.000711,NA,NA,NA,NA,NA,NA,NA,NA,0.43,8.511380382,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
pourouma bicolor,Tree,0.0008982,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
simarouba amara,Tree,0.0018432,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
tapirira guianensis,Tree,0.001116,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
trattinnickia aspera,Tree,0.000774,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
virola sebifera,Tree,0.0010944,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
vochysia ferruginea,Tree,0.0016506,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,3100,26.49566667,Santiago et al. 2004,Tropical rainforest,-79.85,9.15,NA,NA,,
qualea grandiflora,Tree,NA,NA,NA,NA,NA,NA,NA,-1.55,NA,NA,NA,1500,21,Scholz et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
blepharocalyx salicifolius,Tree,NA,NA,NA,NA,NA,NA,NA,-1.9,-0.5,0.56,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
byrsonima crassa,Tree,NA,NA,NA,NA,NA,NA,NA,-1.7,-0.38,0.53,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
caryocar brasiliense,Tree,NA,NA,NA,NA,NA,NA,NA,-1.46,-0.8,0.59,8.511380382,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
kielmeyera coriacea,Tree,NA,NA,NA,NA,NA,NA,NA,-2.15,-0.55,0.5,4.897788194,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
qualea parviflora,Tree,NA,NA,NA,NA,NA,NA,NA,-1.75,-0.55,0.569,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
schefflera macrocarpa,Tree,NA,NA,NA,NA,NA,NA,NA,-1.55,-0.43,0.54,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
sclerolobium paniculatum,Tree,NA,NA,NA,NA,NA,NA,NA,-2.25,-0.8,0.62,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
vochysia thyrsoidea,Tree,NA,NA,NA,NA,NA,NA,NA,-1.45,NA,0.42,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
aspidosperma tomentosum,Tree,0.000398,1.56,0.391959799,NA,NA,NA,NA,-2.01,NA,0.6,6.002,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
aspidosperma tomentosum,Tree,0.000915,4.02,0.439344262,NA,NA,NA,NA,-1.23,NA,0.545,7.45,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
aspidosperma tomentosum,Tree,0.000909,3.55,0.390539054,NA,NA,NA,NA,-1.2,NA,0.497,7.86,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
dalbergia miscolobium,Tree,NA,NA,NA,NA,NA,NA,NA,-2.25,NA,0.636,NA,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
dalbergia miscolobium,Tree,NA,NA,NA,NA,NA,NA,NA,-1.85,NA,0.53,NA,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
dalbergia miscolobium,Tree,NA,NA,NA,NA,NA,NA,NA,-1.68,NA,0.67,NA,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
eriotheca pubescens,Tree,0.000521,2.67,0.512476008,NA,NA,NA,NA,-1.55,NA,0.6,6.002,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
eriotheca pubescens,Tree,0.000932,4.33,0.464592275,NA,NA,NA,NA,-1.46,NA,0.54,7.452,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
eriotheca pubescens,Tree,0.001408,4.21,0.299005682,NA,NA,NA,NA,-1.26,NA,0.497,7.865,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
guapira areolata,Tree,NA,8.1,NA,NA,NA,NA,NA,-1.04,NA,0.46,10.123,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
guapira noxia,Tree,0.000845,2.56,0.30295858,NA,NA,NA,NA,-1.32,NA,0.498,7.467,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
guapira noxia,Tree,0.00111,3.7,0.333333333,NA,NA,NA,NA,-1.08,NA,0.496,8.108,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
guapira noxia,Tree,0.0012,4.8,0.4,NA,NA,NA,NA,-1.04,NA,0.497,8.105,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
guarea guidonia,Tree,0.0029,7.7,0.265517241,NA,NA,NA,NA,-0.81,NA,0.467,10.016,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
